Direction_ID,Travel_ID,Current_Status,Vehicle ID,Latitude,Line_ID,Longitude,Pattern_ID,Route_ID,schedule_relationship,Shift_ID,Speed,Stop_ID,Timestamp,Trip_ID,Datetime,Date,Time,Day,Workday,Color_ID,Operator,Source,District
279,7_7238-13,Stationed,41|1807,38.75236892700195,1236,-9.282638549804688,1236_0_2,1236_0,SCHEDULED,7238,6.111111111111111,170907,1753780624,1236_0_2_1000_1029_0_7_21NBI,2025-07-29 09:17:04,2025-07-29,09:17:04,Tuesday,True,Red Line,CM,CM,Massamá
134,VER_DU_VU2130,In Transit,43|2034,38.629459381103516,3043,-9.198389053344727,3043_0_1,3043_0,SCHEDULED,VU2131,8.333333333333334,020187,1753780615,3043_0_1_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:16:55,2025-07-29,09:16:55,Tuesday,True,Blue Line,CM,CM,Palhais
355,7_7202-13,Stationed,41|1260,38.762855529785156,1523,-9.305560111999512,1523_0_2,1523_0,SCHEDULED,7202,0.0,170768,1753780625,1523_0_2_0930_0959_1_7_21NBI,2025-07-29 09:17:05,2025-07-29,09:17:05,Tuesday,True,Red Line,CM,CM,Cacém
206,VER_DU_VU2051,Approaching,43|2087,38.645965576171875,3027,-9.179579734802246,3027_0_2,3027_0,SCHEDULED,VU2051,8.333333333333334,020767,1753780622,3027_0_2_1000_1029_0_VER_DU_G9Q68,2025-07-29 09:17:02,2025-07-29,09:17:02,Tuesday,True,Red Line,CM,CM,Casal de Santo António
5,7_7624-13,In Transit,41|1131,38.75699996948242,1519,-9.250310897827148,1519_0_1,1519_0,SCHEDULED,7624,4.166666666666667,171027,1753780616,1519_0_1_1000_1029_0_7_21NBI,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Red Line,CM,CM,Vale de Carenque
14,3041-13,Approaching,42|2111,38.8277587890625,2725,-9.138941764831543,2725_0_2,2725_0,SCHEDULED,3041,12.222222222222221,070498,1753780624,2725_0_2|1|3|0950_HUAG2,2025-07-29 09:17:04,2025-07-29,09:17:04,Tuesday,True,Red Line,CM,CM,Santo António dos Cavaleiros e Frielas
0,VER_DU_VU1074,Stationed,43|2377,38.62436294555664,3119,-9.121904373168945,3119_0_2,3119_0,SCHEDULED,VU1074,0.0,140299,1753780616,3119_0_2_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Red Line,CM,CM,Cruz de Pau
42,VER_DU_VU2073,In Transit,43|2276,38.67219161987305,3007,-9.189214706420898,3007_0_2,3007_0,SCHEDULED,VU2105,7.222222222222222,020259,1753780597,3007_0_2_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:16:37,2025-07-29,09:16:37,Tuesday,True,Red Line,CM,CM,Raposo
0,3008-13,Stationed,42|2344,38.79529571533203,2708,-9.104301452636719,2708_0_2,2708_0,SCHEDULED,3008,0.0,070513,1753780604,2708_0_2|1|3|1000_HUAG2,2025-07-29 09:16:44,2025-07-29,09:16:44,Tuesday,True,Red Line,CM,CM,Urbanização Real Forte
281,VS_007,Approaching,42|2020,38.974857330322266,2333,-8.981051445007324,2333_0_2,2333_0,SCHEDULED,3149,5.277777777777778,180784,1753780626,2333_0_2|1|3|1015_HUAG2,2025-07-29 09:17:06,2025-07-29,09:17:06,Tuesday,True,Blue Line,CM,CM,Povos
69,20250729-64810390-313270234560,In Transit,44|13574,38.57051086425781,4710,-8.90424633026123,4710_0_2,4710_0,SCHEDULED,313270234560,5.0,130026,1753780618,4710_0_2|3700|1015_PYPHK,2025-07-29 09:16:58,2025-07-29,09:16:58,Tuesday,True,Yellow Line,CM,CM,Serrinha
300,VER_DU_VU2021,Approaching,43|2245,38.60908889770508,3030,-9.205201148986816,3030_0_1,3030_0,SCHEDULED,VU2021,11.11111111111111,020808,1753780626,3030_0_1_1000_1029_0_VER_DU_G9Q68,2025-07-29 09:17:06,2025-07-29,09:17:06,Tuesday,True,Red Line,CM,CM,Unknown
39,3085-13,In Transit,42|2114,38.82723617553711,2539,-9.092894554138184,2539_0_3,2539_0,SCHEDULED,3085PT,7.777777777777778,070767,1753780608,2539_0_3|1|3|0945_HUAG2,2025-07-29 09:16:48,2025-07-29,09:16:48,Tuesday,True,Red Line,CM,CM,Cachoeiras de Cima
263,20250729-64810180-312430234560,Approaching,44|12084,38.52493667602539,4412,-8.879554748535156,4412_0_1,4412_0,SCHEDULED,312430234560,11.11111111111111,160061,1753780627,4412_0_1|3700|0950_PYPHK,2025-07-29 09:17:07,2025-07-29,09:17:07,Tuesday,True,Red Line,CM,CM,São Sebastião
36,3050-13'_001,In Transit,42|2032,38.78824996948242,2731,-9.115221977233887,2731_0_3,2731_0,SCHEDULED,3050,9.166666666666666,071415,1753780594,2731_0_3|1|3|1000_HUAG2,2025-07-29 09:16:34,2025-07-29,09:16:34,Tuesday,True,Red Line,CM,CM,Moscavide e Portela
149,20250729-64810316-323430234560,In Transit,44|12698,38.647125244140625,4701,-8.993253707885742,4701_0_2,4701_0,SCHEDULED,323430234560,4.444444444444445,090056,1753780626,4701_0_2|3700|1000_PYPHK,2025-07-29 09:17:06,2025-07-29,09:17:06,Tuesday,True,Yellow Line,CM,CM,Bairro do Juncalinho
51,20250729-64810162-311300234560,Approaching,44|12731,38.673484802246094,4322,-8.85905647277832,4322_0_1,4322_0,SCHEDULED,311300234560,5.555555555555555,130505,1753780627,4322_0_1|3700|0940_PYPHK,2025-07-29 09:17:07,2025-07-29,09:17:07,Tuesday,True,Red Line,CM,CM,Pinhal Novo
312,3073-13,In Transit,42|2002,38.892120361328125,2301,-9.036721229553223,2301_0_3,2301_0,SCHEDULED,3073,0.2777777777777778,183302,1753780581,2301_0_3|1|3|1015_HUAG2,2025-07-29 09:16:21,2025-07-29,09:16:21,Tuesday,True,,,CM,Unknown
280,20250729-64810590-311580234560,In Transit,44|12592,38.53960418701172,4474,-8.889670372009277,4474_0_1,4474_0,SCHEDULED,311580234560,5.0,160068,1753780617,4474_0_1|3700|0945_PYPHK,2025-07-29 09:16:57,2025-07-29,09:16:57,Tuesday,True,Red Line,CM,CM,Bairro do Liceu
172,3010-13,In Transit,42|2350,38.8251953125,2708,-9.12796401977539,2708_0_1,2708_0,SCHEDULED,3010PT,8.61111111111111,071343,1753780610,2708_0_1|1|3|1015_HUAG2,2025-07-29 09:16:50,2025-07-29,09:16:50,Tuesday,True,Red Line,CM,CM,Bairro das Coroas
180,20250729-64810404-313150234560,In Transit,44|12693,38.57167434692383,4725,-8.866765022277832,4725_0_1,4725_0,SCHEDULED,313150234560,19.444444444444443,160027,1753780616,4725_0_1|3700|0930_PYPHK,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Yellow Line,CM,CM,Palmela
